,Unnamed: 0,mrt_mult,int_adj,sur_mult,PVFP
101,101,0.98,0.009999999999999995,1.15,274266.5692499722
102,102,0.98,0.020000000000000004,1.1,264057.7966630003
103,103,0.98,0.020000000000000004,1.15,255372.785852098
104,104,0.98,0.03,1.1,246112.6742123965
105,105,0.98,0.03,1.15,238088.5109272112
106,106,0.98,0.04,1.1,229671.69733752136
107,107,0.98,0.04,1.15,222243.88907582013
108,108,0.98,0.05,1.1,214578.25596263984
109,109,0.98,0.05,1.15,207689.6163300658
110,110,1.0,-0.05,1.1,442824.78787160345
111,111,1.0,-0.05,1.15,427069.8330520842
112,112,1.0,-0.04,1.1,408209.0081704036
113,113,1.0,-0.04,1.15,393862.6954101889
114,114,1.0,-0.03,1.1,376976.87548601616
115,115,1.0,-0.03,1.15,363884.1219869964
116,116,1.0,-0.020000000000000004,1.1,348731.41685444553
117,117,1.0,-0.020000000000000004,1.15,336756.5696106728
118,118,1.0,-0.010000000000000002,1.1,323128.1538769301
119,119,1.0,-0.010000000000000002,1.15,312152.3114093328
120,120,1.0,0.0,1.1,299867.5072565261
121,121,1.0,0.0,1.15,289786.2400748676
122,122,1.0,0.009999999999999995,1.1,278688.38361457665
123,123,1.0,0.009999999999999995,1.15,269409.7900424794
124,124,1.0,0.020000000000000004,1.1,259362.7487597753
125,125,1.0,0.020000000000000004,1.15,250805.79342022023
126,126,1.0,0.03,1.1,241691.02583525673
127,127,1.0,0.03,1.15,233784.11686761316
128,128,1.0,0.04,1.1,225498.1847309073
129,129,1.0,0.04,1.15,218177.95304643907
130,130,1.0,0.05,1.1,210630.41202676576
131,131,1.0,0.05,1.15,203840.6618901108
132,132,1.02,-0.05,1.1,435172.8887573525
133,133,1.02,-0.05,1.15,419669.27420258365
134,134,1.02,-0.04,1.1,401129.21243737
135,135,1.02,-0.04,1.15,387009.6738007189
136,136,1.02,-0.03,1.1,370408.432571234
137,137,1.02,-0.03,1.15,357520.73914176284
138,138,1.02,-0.020000000000000004,1.1,342621.0743024848
139,139,1.02,-0.020000000000000004,1.15,330832.0551136902
140,140,1.02,-0.010000000000000002,1.1,317429.1314885814
141,141,1.02,-0.010000000000000002,1.15,306622.0493376602
142,142,1.02,0.0,1.1,294538.62331373146
143,143,1.02,0.0,1.15,284610.9395802616
144,144,1.02,0.009999999999999995,1.1,273693.3090780096
145,145,1.02,0.009999999999999995,1.15,264554.7772556196
146,146,1.02,0.020000000000000004,1.1,254669.36938398113
147,147,1.02,0.020000000000000004,1.15,246240.40568276265
148,148,1.02,0.03,1.1,237270.89547875753
149,149,1.02,0.03,1.15,229481.18345125805
150,150,1.02,0.04,1.1,221326.05588783737
151,151,1.02,0.04,1.15,214113.3491203942
152,152,1.02,0.05,1.1,206683.83187947128
153,153,1.02,0.05,1.15,199992.9246499676
154,154,1.04,-0.05,1.1,427524.4090903196
155,155,1.04,-0.05,1.15,412271.99355647655
156,156,1.04,-0.04,1.1,394052.4836541007
157,157,1.04,-0.04,1.15,380159.5937314741
158,158,1.04,-0.03,1.1,363842.7462741442
159,159,1.04,-0.03,1.15,351160.00135956705
160,160,1.04,-0.020000000000000004,1.1,336513.21462199365
161,161,1.04,-0.020000000000000004,1.15,324909.9240783837
162,162,1.04,-0.010000000000000002,1.1,311732.35003130784
163,163,1.04,-0.010000000000000002,1.15,301093.9394521186
164,164,1.04,0.0,1.1,289211.76606441534
165,165,1.04,0.0,1.15,279437.5864157937
166,166,1.04,0.009999999999999995,1.1,268700.0711714716
167,167,1.04,0.009999999999999995,1.15,259701.5300024441
168,168,1.04,0.020000000000000004,1.1,249977.65770853628
169,169,1.04,0.020000000000000004,1.15,241676.6218464872
170,170,1.04,0.03,1.1,232852.28240218532
171,171,1.04,0.03,1.15,225179.70996755996
172,172,1.04,0.04,1.1,217155.31014388194
173,173,1.04,0.04,1.15,210050.07666011507
174,174,1.04,0.05,1.1,202738.51492381052
175,175,1.04,0.05,1.15,196146.40403667022
176,176,1.06,-0.05,1.1,419879.34699577757
177,177,1.06,-0.05,1.15,404877.9893187636
178,178,1.06,-0.04,1.1,386978.8201614809
179,179,1.06,-0.04,1.15,373312.4536135359
180,180,1.06,-0.03,1.1,357279.81512383773
181,181,1.06,-0.03,1.15,344801.9072314065
182,182,1.06,-0.020000000000000004,1.1,330407.83650663664
183,183,1.06,-0.020000000000000004,1.15,318990.1752531037
184,184,1.06,-0.010000000000000002,1.1,306037.8083429341
185,185,1.06,-0.010000000000000002,1.15,295567.9806389166
186,186,1.06,0.0,1.1,283886.9344728969
187,187,1.06,0.0,1.15,274266.17958865897
188,188,1.06,0.009999999999999995,1.1,263708.66897046287
189,189,1.06,0.009999999999999995,1.15,254850.04739650642
190,190,1.06,0.020000000000000004,1.1,245287.61290682372
191,191,1.06,0.020000000000000004,1.15,237114.44111860145
192,192,1.06,0.03,1.1,228435.18586523907
193,193,1.06,0.03,1.15,220879.69570632846
194,194,1.06,0.04,1.1,212985.94683497786
195,195,1.06,0.04,1.15,205988.1350283832
196,196,1.06,0.05,1.1,198794.46056316435
197,197,1.06,0.05,1.15,192301.09947756675
198,198,1.08,-0.05,1.1,412237.70060010755
199,199,1.08,-0.05,1.15,397487.2596955081
200,200,1.08,-0.04,1.1,379908.2203013689
201,201,1.08,-0.04,1.15,366468.25185891974
202,202,1.08,-0.03,1.1,350719.6376502617
203,203,1.08,-0.03,1.15,338446.4553491021
204,204,1.08,-0.020000000000000004,1.1,324304.93865083443
205,205,1.08,-0.020000000000000004,1.15,313072.80738692585
206,206,1.08,-0.010000000000000002,1.1,300345.5052619525
207,207,1.08,-0.010000000000000002,1.15,290044.17178490374
208,208,1.08,0.0,1.1,278564.1275040856
209,209,1.08,0.0,1.15,269096.71810661885
210,210,1.08,0.009999999999999995,1.1,258719.1015510064
211,211,1.08,0.009999999999999995,1.15,250000.3285518615
212,212,1.08,0.020000000000000004,1.1,240599.23415268984
213,213,1.08,0.020000000000000004,1.15,232553.8627067577
214,214,1.08,0.03,1.1,224019.6051280291
215,215,1.08,0.03,1.15,216581.13995776887
216,216,1.08,0.04,1.1,208817.96529742872
217,217,1.08,0.04,1.15,201927.523588332
218,218,1.08,0.05,1.1,194851.6682012398
219,219,1.08,0.05,1.15,188457.01040031863
220,220,1.1,-0.05,1.1,404599.46803079854
221,221,1.1,-0.05,1.15,390099.80289383495
222,222,1.1,-0.04,1.1,372840.6824165968
223,223,1.1,-0.04,1.15,359626.98688057467
224,224,1.1,-0.03,1.1,344162.21238422126
225,225,1.1,-0.03,1.15,332093.6443052956
226,226,1.1,-0.020000000000000004,1.1,318204.5197497627
227,227,1.1,-0.020000000000000004,1.15,307157.8192296505
228,228,1.1,-0.010000000000000002,1.1,294655.4396275222
229,229,1.1,-0.010000000000000002,1.15,284522.5117775687
230,230,1.1,0.0,1.1,273243.3441234812
231,231,1.1,0.0,1.15,263929.20097800076
232,232,1.1,0.009999999999999995,1.1,253731.36798964726
233,233,1.1,0.009999999999999995,1.15,245152.3725830657
234,234,1.1,0.020000000000000004,1.1,235912.52062044467
235,235,1.1,0.020000000000000004,1.15,227994.8858190536
236,236,1.1,0.03,1.1,219605.53945107813
237,237,1.1,0.03,1.15,212284.04201248146
238,238,1.1,0.04,1.1,204651.36486790434
239,239,1.1,0.04,1.15,197868.2417034465
240,240,1.1,0.05,1.1,190910.13724207057
241,241,1.1,0.05,1.15,184614.13623290067
0,0,0.9,-0.05,0.9,556020.4436144261
1,1,0.9,-0.04,0.9,511701.8590644195
2,2,0.9,-0.03,0.9,471833.36303213896
3,3,0.9,-0.020000000000000004,0.9,435884.14899724186
4,4,0.9,-0.010000000000000002,0.9,403394.39237982495
5,5,0.9,0.0,0.9,373964.8972984119
6,6,0.9,0.009999999999999995,0.9,347248.36461972434
7,7,0.9,0.020000000000000004,0.9,322942.011496428
8,8,0.9,0.03,0.9,300781.31995790976
9,9,0.9,0.04,0.9,280534.73076154344
10,10,0.9,0.05,0.9,261999.1303075637
11,11,0.92,-0.05,0.9,547236.677961495
12,12,0.92,-0.04,0.9,503602.2002180266
13,13,0.92,-0.03,0.9,464343.9669502839
14,14,0.92,-0.020000000000000004,0.9,428940.3763065849
15,15,0.92,-0.010000000000000002,0.9,396939.5406187029
16,16,0.92,0.0,0.9,367949.12200560607
17,17,0.92,0.009999999999999995,0.9,341627.7592278036
18,18,0.92,0.020000000000000004,0.9,317677.82104882016
19,19,0.92,0.03,0.9,295839.26783214504
20,20,0.92,0.04,0.9,275884.441013908
21,21,0.92,0.05,0.9,257613.63109099594
22,22,0.94,-0.05,0.9,538456.971124426
23,23,0.94,-0.04,0.9,495506.17560334725
24,24,0.94,-0.03,0.9,456857.83172623906
25,25,0.94,-0.020000000000000004,0.9,421999.5354963696
26,26,0.94,-0.010000000000000002,0.9,390487.33032370725
27,27,0.94,0.0,0.9,361935.73132375034
28,28,0.94,0.009999999999999995,0.9,336009.31085031986
29,29,0.94,0.020000000000000004,0.9,312415.58557497326
30,30,0.94,0.03,0.9,290898.9910012109
31,31,0.94,0.04,0.9,271235.7664836843
32,32,0.94,0.05,0.9,253229.604226385
33,33,0.96,-0.05,0.9,529681.3208681552
34,34,0.96,-0.04,0.9,487413.78324413655
35,35,0.96,-0.03,0.9,449374.9556095324
36,36,0.96,-0.020000000000000004,0.9,415061.6250134141
37,37,0.96,-0.010000000000000002,0.9,384037.7601143578
38,38,0.96,0.0,0.9,355924.7240237971
39,39,0.96,0.009999999999999995,0.9,330393.01839123183
40,40,0.96,0.020000000000000004,0.9,307155.3040958608
41,41,0.96,0.03,0.9,285960.4885891919
42,42,0.96,0.04,0.9,266588.70638596325
43,43,0.96,0.05,0.9,248847.04900926922
